Name,Image_link,Price,Product_link
Mya - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-7581-STONE-GREY-1_3024x.jpg?v=1693571164,"Rs. 6,999.00",https://kompanero.in/products/mya-the-handbag?variant=46568953577755
Albion - The Trolley,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/0W8A5684_3024x.jpg?v=1693335705,"Rs. 26,999.00",https://kompanero.in/products/albion-the-trolley?variant=46564487069979
Katie - The Flat,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/F-OC0001-MULTI-1_3024x.jpg?v=1693333840,"Rs. 3,998.00",https://kompanero.in/products/katie-the-flat?variant=46564319985947
Penelope - The Wedge,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/F-OC0002-BEIGE-1_3024x.jpg?v=1693333169,"Rs. 4,797.00",https://kompanero.in/products/penelope-the-wedge?variant=46564245242139
Phoebe - The Block Heel,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/F-OC0003-BROWN-1_3024x.jpg?v=1693332935,"Rs. 4,399.00",https://kompanero.in/products/phoebe-the-block-heel?variant=46564196253979
Callie - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_74e36fbc-482f-488c-bbb6-302bc4366065_3024x.jpg?v=1693474547,"Rs. 1,798.00",https://kompanero.in/products/aleenaa-the-wallet?variant=46468997185819
Onda - The sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_04c08076-9874-48d6-9bf6-f8c78f021e2d_3024x.jpg?v=1693473833,"Rs. 4,798.00",https://kompanero.in/products/onda-the-sling?variant=46451266257179
Zasha - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_3674457d-108c-4615-be73-c0ac0919d168_3024x.jpg?v=1693475432,"Rs. 2,719.00",https://kompanero.in/products/zasha-the-belt?variant=46469000102171
Marisha - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_2a3899e1-5a99-4422-8091-26dffaac8a0d_3024x.jpg?v=1693475493,"Rs. 1,598.00",https://kompanero.in/products/marisha-the-belt?variant=46469000790299
Camila - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_39669a07-1a87-4291-8e5d-6515e70beee1_3024x.jpg?v=1693475582,"Rs. 1,139.00",https://kompanero.in/products/camila-the-belt?variant=46443395186971
Melissa - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_7130642d-4a53-42c9-8fa3-dbcbc7c0c629_3024x.jpg?v=1693472614,"Rs. 3,999.00",https://kompanero.in/products/melissa-the-sling-bag?variant=46442492166427
Velour - Camera Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b646aa1d-cc0a-438f-8113-0ff3d75dca7e_3024x.jpg?v=1693464679,"Rs. 4,199.00",https://kompanero.in/products/velour-camera-bag?variant=46437251154203
Rover - The laptop backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_4ed3621c-6b28-4b57-8deb-15a53f577d05_3024x.jpg?v=1693465659,"Rs. 9,599.00",https://kompanero.in/products/rover-the-laptop-backpack?variant=46437145051419
Vipasa - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_8e9196ec-d11e-4652-80d2-96ac4343e831_3024x.jpg?v=1693465597,"Rs. 5,999.00",https://kompanero.in/products/vipasa-the-crossbody?variant=46437006934299
Onda - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_b978eb64-fa66-44a8-9ff5-9fb9d9588102_3024x.jpg?v=1693464574,"Rs. 4,199.00",https://kompanero.in/products/onda-the-sling-bag?variant=46469004853531
Dazi - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0ecd972a-3ccb-4b0c-ad86-b313e900766d_3024x.jpg?v=1693464382,"Rs. 4,699.00",https://kompanero.in/products/dazi-the-sling?variant=46469007638811
Aurora - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_9cc16234-b721-4717-aeeb-4027fd27fd86_3024x.jpg?v=1693465487,"Rs. 2,998.00",https://kompanero.in/products/aurora-the-sling-bag?variant=46469010751771
Dorian - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_0fe76b40-6b04-4796-8691-233b47335b08_3024x.jpg?v=1693464261,"Rs. 10,798.00",https://kompanero.in/products/dorian-the-portfolio?variant=46469011636507
Heidi - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_8cc88ca0-32dc-4620-ae0d-bc0982da703b_3024x.jpg?v=1693223725,"Rs. 1,348.00",https://kompanero.in/products/heidi-the-wallet?variant=46315831034139
Brandon - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_bb522574-1e36-44b1-ab4e-012c0d2cbe54_3024x.jpg?v=1693225171,"Rs. 1,119.00",https://kompanero.in/products/brandon-the-wallet?variant=46469015634203
Rover - The wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_4e0c16f9-d439-4c66-b657-b4c4a36829f6_3024x.jpg?v=1693378942,"Rs. 2,959.00",https://kompanero.in/products/rover-the-wallet?variant=46469017501979
Jade - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_f2c104fa-b7ef-4684-9fa7-d3cf04b7ded0_3024x.jpg?v=1693222824,"Rs. 2,798.00",https://kompanero.in/products/jade-the-wallet?variant=46469017633051
Carbani - The Keycase,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0bb69607-7979-4770-8b0d-9eee5a6dcab8_3024x.jpg?v=1693224397,"Rs. 1,119.00",https://kompanero.in/products/carbani-the-keycase?variant=46310946472219
Aimee - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_f91dddf0-e542-4414-bf05-295fa42001b2_3024x.jpg?v=1693220776,"Rs. 7,198.00",https://kompanero.in/products/aimee-the-shoulder-bag-1?variant=46469022417179
Astratto - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_3375c2ab-1a2e-43a9-a43d-597cced856e1_3024x.jpg?v=1693215243,"Rs. 4,199.00",https://kompanero.in/products/astratto-the-sling?variant=46469024743707
Harmonia - The Medium Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/3_071a1918-f6c2-4733-bdf8-5e01e151958c_3024x.jpg?v=1691834107,"Rs. 4,197.00",https://kompanero.in/products/harmonia-the-medium-sling-bag?variant=45456860741915
Kaleido - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c12d34bd-993e-40df-ba4a-6befc51089e1_3024x.jpg?v=1693030943,"Rs. 2,397.00",https://kompanero.in/products/kaleido-the-wallet?variant=45456820207899
Jaime - The Trolley,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/0W8A5694_3024x.jpg?v=1692712590,"Rs. 25,899.00",https://kompanero.in/products/jaime-the-trolley?variant=45447113048347
Sonnet - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_fa305bdb-878a-445e-a7b3-90e63e67cc5b_3024x.jpg?v=1692710055,"Rs. 6,999.00",https://kompanero.in/products/sonnet-the-sling-bag?variant=45447076774171
Rattan - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_104a4bc6-b1b6-4fca-acb2-15a49c13333d_3024x.jpg?v=1692345456,"Rs. 4,498.00",https://kompanero.in/products/rattan-the-sling?variant=45447048167707
Lexi - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_082d0e7d-22fa-4b24-8c9e-2540f093249d_3024x.jpg?v=1692258659,"Rs. 4,249.00",https://kompanero.in/products/blossom-the-sling-bag-1?variant=45446899925275
Neo - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A5581_3024x.jpg?v=1693553796,"Rs. 13,598.00",https://kompanero.in/products/maverick-the-portfolio?variant=45446855131419
Sebastian - The Travel Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_a767851d-cdb7-4fcc-a5af-8ec2477dcb54_3024x.jpg?v=1692792612,"Rs. 2,097.00",https://kompanero.in/products/sebastian-the-travel-wallet?variant=45446836191515
Carter - The Messenger Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_be7521c2-4580-4665-b9de-057652e9bfa7_3024x.jpg?v=1692255737,"Rs. 8,999.00",https://kompanero.in/products/carter-the-messenger-bag?variant=45446700826907
Carter - The Messenger,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_8cd64bbb-e806-4aaa-a6d9-6bcb2a90c35f_3024x.jpg?v=1692256154,"Rs. 7,198.00",https://kompanero.in/products/carter-the-messenger?variant=45446690701595
Rover - The clutch,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_0e3f5911-7f2a-4220-a8f1-573f52262a74_3024x.jpg?v=1693031560,"Rs. 3,199.00",https://kompanero.in/products/rover-the-clutch?variant=45442605613339
Riga - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_45032e44-bd34-4180-843c-7bdb37d64266_3024x.jpg?v=1692948454,"Rs. 2,397.00",https://kompanero.in/products/riga-the-wallet-1?variant=45442546336027
Esme - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_d783bd8f-5007-471a-b9bc-33f6c5fcdbd8_3024x.jpg?v=1692879253,"Rs. 2,719.00",https://kompanero.in/products/esme-the-wallet?variant=45438584488219
Theo - The Multi Color Printed Laptop Sleeve,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_8556d4e9-463b-46a4-8856-35e8c749749a_3024x.jpg?v=1691827837,"Rs. 8,798.00",https://kompanero.in/products/theo-the-multi-color-printed-laptop-sleeve?variant=45438574362907
Theo - The Laptop Sleeve,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/2_27f4c036-6589-4eb8-8fff-4f925b856631_3024x.jpg?v=1692358575,"Rs. 7,999.00",https://kompanero.in/products/theo-the-laptop-sleeve?variant=45438572003611
Felicity - The Travel Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_2b4b1df4-40cb-414f-a6e7-f77f45d278fe_3024x.jpg?v=1692797632,"Rs. 3,679.00",https://kompanero.in/products/felicity-the-travel-wallet-1?variant=45383528874267
Michalis - The Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_730bf5ea-e070-403a-afea-385f26705cc5_3024x.jpg?v=1691563774,Rs. 898.00,https://kompanero.in/products/michalis-the-belt?variant=45383384793371
Alessia - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_5eaad87f-ae7d-4c38-b425-b865a8613581_3024x.jpg?v=1693894569,"Rs. 4,999.00",https://kompanero.in/products/alessia-the-backpack?variant=45383353663771
Linnea - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_4c29eee6-cf50-4390-8a7a-d6e5140078c6_3024x.jpg?v=1692346935,"Rs. 5,398.00",https://kompanero.in/products/linnea-the-shoulder-bag?variant=45370167558427
Helena - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_7dd72817-40fc-4880-9cc8-02c507428811_3024x.jpg?v=1692626987,"Rs. 9,798.00",https://kompanero.in/products/helena-the-handbag?variant=45370081050907
Cooper - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_c431c00c-0411-450d-89ec-478b90daf70e_3024x.jpg?v=1691737470,"Rs. 7,799.00",https://kompanero.in/products/cooper-the-shoulder-bag?variant=46469066195227
Brielle - The Shoulder Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_dd50d4a3-73ff-4854-86dd-a2cea3fd0264_3024x.jpg?v=1691738229,"Rs. 8,398.00",https://kompanero.in/products/brielle-the-shoulder-bag?variant=45368991777051
