Name,Image_link,Price
Zara - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A3928_3024x.jpg?v=1693636716,"Rs. 2,799.00"
Abeba - The Corset Belt,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/K-0236-BROWN-4_3024x.jpg?v=1693390052,"Rs. 2,219.00"
Godelif - The Wallet,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/StudioSession-8189copycopy_3024x.jpg?v=1693637396,"Rs. 2,719.00"
Pietro - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_029f93f3-6e4c-4236-9201-ad48d91fdef7_3024x.jpg?v=1693548930,"Rs. 8,398.00"
Zen - The Portfolio,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/SRP_8710copycopy_3024x.jpg?v=1693553644,"Rs. 19,998.00"
Aurora - The Crossbody,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/SRP_5471copycopy_3024x.jpg?v=1693572134,"Rs. 7,998.00"
Roadster - The Backpack,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/SRP_5675copycopy_3024x.jpg?v=1693553418,"Rs. 7,799.00"
Hormat - The Sling,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/G31A0503_3024x.jpg?v=1693633721,"Rs. 8,997.00"
Mya - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-7581-STONE-GREY-1_3024x.jpg?v=1693571164,"Rs. 6,999.00"
Autumn - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/B-7577_14_3024x.jpg?v=1693571792,"Rs. 9,999.00"
Katie - The Flat,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/F-OC0001-MULTI-1_3024x.jpg?v=1693333840,"Rs. 3,998.00"
Penelope - The Wedge,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/F-OC0002-BEIGE-1_3024x.jpg?v=1693333169,"Rs. 4,797.00"
Phoebe - The Block Heel,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/F-OC0003-BROWN-1_3024x.jpg?v=1693332935,"Rs. 4,399.00"
Macrame - The Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_18faa411-6352-42fd-8222-1a31d7d37f32_3024x.jpg?v=1693332449,"Rs. 12,498.00"
Macrame - The Handbag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_bf283b92-5a60-4c4a-bf23-e56d6c18558e_3024x.jpg?v=1693332272,"Rs. 10,998.00"
Macrame - The Medium Sling Bag,https://cdn.shopify.com/s/files/1/0731/4312/4251/files/1_76d1465e-010b-4685-b95a-e1f081a39b1b_3024x.jpg?v=1693326367,"Rs. 9,999.00"
